CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
TBEE81304A,25,25
TBEE814035,269,245
TBEE814057,25,25
TBEE814068,19,17
TBEE814079,16,16
TBEE81408A,22,22
TBEE81409B,20,19
TBEE81501V,102,95
TBEE81502X,62,56
TBEE815031,12,12
TBEE815042,55,55
TBEE815053,14,14
TBEE815064,36,33
TBEE815075,32,32
TBEE81601P,127,118
TBEE81602Q,36,36
TBEE81603R,89,85
TBEE81604T,35,35
TBEE81606X,76,73
TBEE816071,19,19
TBEE81703L,31,29
TBEE81704N,18,18
TBEE81801A,203,193
TBEE81802B,20,20
TBEE81803C,96,96
TBEE81805E,18,18
TBEE81806G,23,23
TBEE81807L,42,42
TBEE81808N,22,22
TBEE819016,101,96
TBEE819027,49,45
TBEE819038,56,53
TBEE82001A,103,102
TBEE82002B,16,16
TBEE82003C,16,16
TBEE82005E,21,21
TBEE82006G,48,47
TBEE82007L,53,53
TBEE821016,185,169
TBEE821027,74,72
TBEE821038,7,6
TBEE821049,25,25
TBEE822012,106,106
TBEE822034,32,32
TBEE822045,25,25
TBEE822056,41,39
TBEE82301T,205,169
TBEE82302V,38,38
TBEE82303X,61,58
TBEE823041,18,16
TBEE823052,46,46
TBEE82401N,146,145
TBEE82402P,16,16
TBEE82403Q,20,20
TBEE82404R,27,27
TBEE82405T,44,44
TBEE82406V,9,9
TBEE82407X,26,26
TBEE82502E,31,31
TBEE82503G,69,59
TBEE82504L,28,28
TBEE826019,69,65
TBEE82602A,34,34
TBEE82603B,30,30
TBEE82604C,59,59
TBEE82605D,90,89
TBEE827015,98,86
TBEE827026,63,58
TBEE827037,50,50
TBEE827048,55,54
TBEE827059,60,60
TBEE828011,108,108
TBEE828033,54,52
TBEE828044,24,24
TBEE828055,62,62
TBEE82903V,51,48
TBEE82904X,38,36
TBEE829051,56,54
TBEE829084,154,147
TBEE829095,17,17
TBEE829107,27,27
TBEE829118,159,157
TBEE830011,105,93
TBEE830022,49,48
TBEE830033,39,39
TBEE830044,30,28
TBEE830055,10,9
TBEE830066,24,24
TBEE830088,27,27
TBEE83101R,229,203
TBEE83102T,30,28
TBEE83103V,16,16
TBEE83104X,56,56
TBEE831051,13,13
TBEE83203P,72,59
TBEE83205R,19,19
TBEE83206T,272,213
TBEE83301C,81,48
TBEE83302D,68,63
TBEE83303E,27,25
TBEE83304G,29,28
TBEE83305L,60,59
TBEE834029,35,35
TBEE83403A,6,6
TBEE83404B,81,80
TBEE83405C,25,25
TBEE83406D,53,53
TBEE835014,417,366
TBEE83601X,437,262
TBEE83701Q,227,170
TBEE83702R,82,53
TBEE83703T,84,73
TBEE83704V,20,16
TBEE83801G,53,51
TBEE83802L,42,41
TBEE83803N,24,24
TBEE83804P,20,20
TBEE83807T,36,36
TBEE83808V,32,31
TBEE83809X,40,40
TBEE83901B,62,61
TBEE83902C,96,94
TBEE84001G,128,106
TBEE84002L,71,64
TBEE84003N,42,37
TBEE84005Q,35,35
TBEE84006R,55,54
TBEE84008V,62,56
TBEE84101B,306,231
TBEE84102C,72,49
TBEE84103D,117,114
TBEE842017,276,256
TBEE842028,109,106
TBEE842039,12,12
TBEE84204A,25,25
TBEE84205B,44,44
TBEE84206C,54,52
TBEE84207D,29,29
TBEE843013,144,133
TBEE843024,7,7
TBEE843035,17,15
TBEE843057,163,152
TBEE84401V,135,126
TBEE84402X,62,59
TBEE844031,57,53
TBEE844042,55,51
TBEE844053,81,77
TBEE844064,121,115
TBEE84501P,175,116
TBEE84502Q,179,105
TBEE84503R,81,81
TBEE84504T,181,142
TBMM80401B,103,100
TBMM80901E,133,126
TBMM834017,114,114
TBMM00700V,497,444
TBMM013006,415,374
TBMM01500T,365,333
TBMM05400C,121,86
TBMM800014,140,135
TBMM80101X,34,34
TBMM801021,20,20
TBMM80201Q,192,179
TBMM80202R,110,108
TBMM80401B,223,220
TBMM805017,291,223
TBMM805017b,129,92
TBMM806013,117,112
TBMM806024,50,46
TBMM80701V,375,355
TBMM80801P,83,83
TBMM80901E,138,134
TBMM81001P,385,356
TBMM81101E,208,202
TBMM81201A,157,140
TBMM813016,153,143
TBMM814012,213,199
TBMM81501T,185,177
TBMM81601N,252,238
TBMM81701D,124,110
TBMM818019,258,248
TBMM819015,103,95
TBMM820019,260,239
TBMM821015,161,145
TBMM822011,78,78
TBMM822022,57,57
TBMM82301R,236,215
TBMM82401L,178,176
TBMM82501C,184,179
TBMM826018,143,140
TBMM827014,193,174
TBMM82801X,449,412
TBMM82901Q,330,309
TBMM83001X,151,144
TBMM83101Q,232,220
TBMM83201G,64,45
TBMM83301B,147,125
TBMM834017,96,96
TBMM834028,111,111
TBMM835013,248,219
TBMM83601V,236,152
TBMM83701P,194,163
TBMM83801E,164,162
TBMM83901A,413,370
TBMM84001E,187,167
TBMM84101A,192,148
TBMM84102B,75,75
TBMM842016,213,204
TBMM842027,118,115
TBMM843012,266,252
TBMM84401T,238,228
TBMM84501N,370,280
TBIS01800C,602,570
TBTE01000E,727,633
TBIS02400Q,568,521
TBPC08000A,730,670
TBIS022004,535,467
TBIS019008,607,528
TBIS021008,385,355
TBIS01200D,726,647
TBPS016017,694,568
TBRC13000T,244,227
TBPM040004,470,431
TBRC16000N,633,581
TBPM05000P,708,665
TBIS014005,995,681
TBPS110004,603,527
TBTF05000Q,648,589
TBTF03000E,545,503
TBTD03050N,663,568
TBIS02300X,579,381
TBIS01700L,421,300
