ANNOSCOLASTICO,AREAGEOGRAFICA,REGIONE,PROVINCIA,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,CODICECOMUNESCUOLA,DESCRIZIONECOMUNE,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,SITOWEBSCUOLA
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1E00700T,"SCUOLA PRIMARIA ""LA VELA""","VIA SAIBANTI, 6/A",38068,H612,ROVERETO,SCUOLA PRIMARIA NON STATALE,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNRI015007,"ISTITUTO ""IVO DE CARNERI"" CIVEZZANO","VIA MURIALDO, 30",38045,C756,CIVEZZANO,SCUOLA SEC. SECONDO GRADO NON STATALE,info@istitutodecarneri.it,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IB1M00200L,MARCELLINE,VIA DELLE MARCELLINE 1,39100,A952,BOLZANO * BOZEN,SCUOLA SEC. PRIMO GRADO NON STATALE,SEGRETERIA@MARCELLINEBOLZANO.IT,scuolemarcellinebolzano@pec.net,http://www.marcellinebolzano.it
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TB1M00700B,ST.ANTONIUS PP.FRANZISKANER,VINTLERGASSE 23,39100,A952,BOLZANO * BOZEN,SCUOLA SEC. PRIMO GRADO NON STATALE,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IBPL01500D,"LICEO LINGUISTICO (I.F.R.S) ""MARCELLINE""",VIA DELLE MARCELLINE 1,39100,A952,BOLZANO * BOZEN,SCUOLA SEC. SECONDO GRADO NON STATALE,SEGRETERIA@MARCELLINEBOLZANO.IT,scuolemarcellinebolzano@pec.net,http://www.marcellinebolzano.it/Objects/
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1M00400G,"COLLEGIO ARCIVESCOVILE ""CELESTINO ENDRICI""","VIA CELESTINO ENDRICI, 23",38100,L378,TRENTO,SCUOLA SEC. PRIMO GRADO NON STATALE,erikapedri@arcivescoviletrento.it,Non Disponibile,Non Disponibile
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1E60100A,"Scuola primaria paritaria ""San Giovanni Bosco""","C.so Battaglione Aosta, 95",11100,A326,AOSTA,SCUOLA PRIMARIA NON STATALE,segreteria-donbosco@mail.scuole.vda.it,coordinatrice@pec.donboscoaosta.it,www.dbosco.scuole.vda.it
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TB1M011003,VINZENTINUM - BRIXEN,BRENNERSTRASSE 36,39042,B160,BRESSANONE * BRIXEN,SCUOLA SEC. PRIMO GRADO NON STATALE,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IBTD025005,"ISTITUTO TECNICO ECONOMICO ""WALTHER""",VIA DEGLI ARTIGIANI 31,39100,A952,BOLZANO * BOZEN,SCUOLA SEC. SECONDO GRADO NON STATALE,WALTHER1@DNET.IT,guglielma.degiorgio@postacertificata.gov.it,http://www.istitutowalther.it/
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1A60601X,"Scuola dell'infanzia paritaria  ""L. Proment""","Viale Monte Bianco, 38",11013,D012,COURMAYEUR,SCUOLA INFANZIA NON STATALE,direzione.proment@gmail.com,asiloproment@pec.it,https://direzioneproment.wixsite.com/scuolaproment
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBPM00500R,"SCUOLA MAGISTRALE ""S. MARIA""",VIA VANGA 91,39100,A952,BOLZANO * BOZEN,SCUOLA SEC. SECONDO GRADO NON STATALE,STMARIA@DNET.IT,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNTA01500B,ISTITUTO PROVINCIALE AGRARIO,"VIA E.MACH, 1",38010,I042,SAN MICHELE ALL'ADIGE,SCUOLA SEC. SECONDO GRADO NON STATALE,segreteria.scuola@fmach.it,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1M007003,"ASSOCIAZIONE PEDAGOGICA ""RUDOLF STEINER""","VIA CONCI, 86",38100,L378,TRENTO,SCUOLA SEC. PRIMO GRADO NON STATALE,SEGRETERIA@SCUOLASTEINER-TRENTO.IT,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1E006002,"COLLEGIO ARCIVESCOVILE ""DAME INGLESI""","CORSO BETTINI, 71",38068,H612,ROVERETO,SCUOLA PRIMARIA NON STATALE,DAME_INGLESI@ARCIVESCOVILETRENTO.IT,Non Disponibile,Non Disponibile
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1E60200A,"Scuola primaria paritaria ""San Giuseppe""","Via Roma, 17",11100,A326,AOSTA,SCUOLA PRIMARIA NON STATALE,scuola.s.giuseppe@tiscali.it,primaria@pec.scuolesangiuseppe.vda.it,https://www.sangiuseppeaosta.com/
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IB1E00100G,MARCELLINE,VIA DELLE MARCELLINE 1,39100,A952,BOLZANO * BOZEN,SCUOLA PRIMARIA NON STATALE,SEGRETERIA@MARCELLINEBOLZANO.IT,scuolemarcellinebolzano@pec.net,http://www.marcellinebolzano.it
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBPC045003,"LICEO-GINNASIO ""VINZENTINUM""",VIA BRENNERO 37,39042,B160,BRESSANONE * BRIXEN,SCUOLA SEC. SECONDO GRADO NON STATALE,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1A60801X,"Scuola dell'infanzia paritaria ""Baraing"" di Pont-St-Martin","Via Baraing, 8",11026,G854,PONT-SAINT-MARTIN,SCUOLA INFANZIA NON STATALE,asilo_infantile@libero.it,asilopontsaintmartin@legalmail.it,https://www.asiloinfantilepsm.it/
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBRH00500D,"SCUOLA ALBERGHIERA PROVINCIALE ""KAISERHOF""",CORSO LIBERTA 155,39012,F132,MERANO * MERAN,SCUOLA SEC. SECONDO GRADO NON STATALE,INFO@KAISERHOF.IT,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TB1M009003,MARIENGARTEN - ST. PAULS,SCHLOSS WARTH WEG 31,39050,A332,APPIANO SULLA STRADA DEL VINO,SCUOLA SEC. PRIMO GRADO NON STATALE,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IBPS005004,"Liceo Scientifico delle Scienze applicate ""RAINERUM - SALESIANI""",PIAZZA DOMENICANI 15,39100,A952,BOLZANO * BOZEN,SCUOLA SEC. SECONDO GRADO NON STATALE,SEGRETERIA@RAINERUM.IT,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1E00300E,"ISTITUTO ""SACRO CUORE""","PIAZZA SANTA TERESA VERZERI, 4",38100,L378,TRENTO,SCUOLA PRIMARIA NON STATALE,istitutocomprensivo@istitutosacrocuore.it,Non Disponibile,Non Disponibile
