ANNOSCOLASTICO,AREAGEOGRAFICA,REGIONE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,CODICECOMUNESCUOLA,DESCRIZIONECOMUNE,DESCRIZIONECARATTERISTICASCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,INDICAZIONESEDEDIRETTIVO,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,SITOWEBSCUOLA
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC832006,"""ALTA VAL DI SOLE""",TNMM832017,"OSSANA ""CESARE ZANELLA""","VIA SAN MICHELE, 1",38026,G173,OSSANA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icaltavaldisole.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC808009,PREDAZZO-TESERO-PANCHIA'-ZIANO,TNEE80802C,"ZIANO DI FIEMME  ""IQBAL MASIA""","PIAZZA ITALIA, 4",38030,M173,ZIANO DI FIEMME,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.ic-predazzotesero.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC80100E,"""STRIGNO E TESINO""",TNEE80108X,OSPEDALETTO,"VIA ROMA, 52",38050,G168,OSPEDALETTO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icstrignoetesino.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBEE034008,SAN LEONARDO I.P./ST.LEONHARD,TBEE034008,SAN LEONARDO I.P./ST.LEONHARD,VIA CHIESA 10,39015,H952,SAN LEONARDO IN PASSIRIA * ST.,NORMALE,SCUOLA PRIMARIA,SI,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP011000,Mont Emilius 2,AO1A011050,infanzia Saint-Christophe Pallein,"Loc. Pallein, 32",11020,H669,SAINT-CHRISTOPHE,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,is-memilius2@regione.vda.it,Non Disponibile,montemilius2.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC85600P,"""TRENTO 3""",TNEE85603V,TRENTO - RAVINA,"VIA DELLE MASERE, 5",38040,L378,TRENTO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.ictrento3.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP009000,Grand Combin,AO1E009050,primaria  Roisan,"Fraz. Champvillair Dessus, 22",11100,H497,ROISAN,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-gcombin@regione.vda.it,Non Disponibile,https://grandcombin.iswebcloud.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNPS11000Q,"LINGUISTICO ""SOPHIE MAGDALENA SCHOLL"" TN",TNPS11000Q,"LINGUISTICO ""SOPHIE MAGDALENA SCHOLL"" TN","VIA MATTIOLI, 8",38122,L378,TRENTO,NORMALE,LICEO SCIENTIFICO,SI,Non Disponibile,segr.linguisticotrento@scuole.provincia.tn.it,linguisticotrento@pec.provincia.tn.it,www.linguisticotrento.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC81800X,"""LEVICO TERME""",TNEE818012,"CALCERANICA AL LAGO""MARTINELLI""","VIA DELLA SCUOLA, 2",38050,B389,CALCERANICA AL LAGO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,http://www.iclevico.eu
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC85500V,"""ROVERETO SUD""",TNIC85500V,"""ROVERETO SUD""","VIA BENACENSE, 32",38068,H612,ROVERETO,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,segr.ic.roveretosud@scuole.provincia.tn.it,ic.roveretosud@pec.provincia.tn.it,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC83100P,SCHULZENTRUM SAND IN TAUFERS,TBMM83101Q,CAMPO TURES - SAND IN TAUFERS,MOLINI     1,39032,B570,CAMPO TURES * SAND IN TAUFERS,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC85700E,"""TRENTO 4""",TNMM85701G,"TRENTO ""OTHMAR WINKLER""","VIALE DEGLI OLMI, 22",38123,L378,TRENTO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.ictrento4.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC812009,CARDANO/KARDAUN,TBIC812009,CARDANO/KARDAUN,JOSEF-KRAUTNER-PLATZ 2,39053,B799,CORNEDO ALL'ISARCO * KARNEID,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,ssp.karneid@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIS01800C,IST. TEC. AGRARIO E IST. TEC. ECON. ORA,TBTD01801P,IST. TEC. AGR. ED IST. TEC. ECON. DI ORA,SCHLOSSWEG 10,39040,G083,ORA * AUER,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIS021008,IST.D'ISTR.SEC.SUP.DI SEC.GR. VIPITENO,TBTD02101E,LINGUA TEDESCA,Non Disponibile,39049,M067,VIPITENO * STERZING,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC842005,MERAN/OBERMAIS MERANO/MAIA ALTA,TBMM842016,MERAN/OBERMAIS-MERANO/MAIA ALTA,VIA        CAVOUR              54,39012,F132,MERANO * MERAN,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC81400L,"""PERGINE 1""",TNEE81401P,FIEROZZO - SAN FELICE,"LOC. MASO RONCA, 1",38050,D573,FIEROZZO,DI MONTAGNA,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icpergine1.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC81700C,PRATO ALLO STELVIO/PRAD A.STJ.,TBEE81701E,PRATO ALLO STELVIO/PRAD A.STJ.,VIA CROCE 4,39026,H004,PRATO ALLO STELVIO * PRAD AM S,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,LBTD04000E,"ISTITUTO TECNICO ECONOMICO ""RAETIA""",LBTD04000E,"ISTITUTO TECNICO ECONOMICO ""RAETIA""",VIA REZIA 295,39046,G140,ORTISEI * ST. ULRICH,NORMALE,ISTITUTO TECNICO COMMERCIALE,SI,Non Disponibile,ite.urtijei@scuola.alto-adige.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC800003,SAN MARTINO IN PASSIRIA/ST.MART,TBIC800003,SAN MARTINO IN PASSIRIA/ST.MART,MALERWEG 1,39010,H989,SAN MARTINO IN PASSIRIA * ST.,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,ssp.stmartin@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC82800V,DR. JOSEF ROED,TBEE828044,VILA DI SOPRA/OBERWIELENBACH,Non Disponibile,39030,G443,PERCA * PERCHA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC80100V,VAL DI NON,TBMM801021,LAUREGNO - LAUREIN,VIA        GASSERN             8,39040,E481,LAUREGNO * LAUREIN,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIS00100P,"""LA ROSA BIANCA-WEISSE ROSE"" - CAVALESE",TNPS001015,"""LA ROSA BIANCA-WEISSE ROSE"" - CAVALESE","VIA GANDHI, 1",38033,C372,CAVALESE,NORMALE,LICEO SCIENTIFICO,NO,Non Disponibile,segr.iicavalese@scuole.provincia.tn.it,Non Disponibile,http://www.scuolefiemme.tn.it/
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP012000,Mont Emilius 3,AO1E012030,primaria Gressan Capoluogo,"Località Taxel, 1",11020,E165,GRESSAN,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-memilius3@regione.vda.it,Non Disponibile,www.montemilius3.scuole.vda.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIS00200E,"""ALCIDE DEGASPERI"" BORGO",TNCT708006,EDUCAZIONE ADULTI I CICLO BORGO VALS.,"VIA XXIV MAGGIO, 6",38051,B006,BORGO VALSUGANA,NORMALE,CENTRO TERRITORIALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC83800D,ISC FISCHNALER VIPITENO II,TBEE83807T,RIDANNA/RIDNAUN,Non Disponibile,39040,H152,RACINES * RATSCHINGS,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IBPC040008,LICEO GIOSUE' CARDUCCI,IBPC040008,LICEO GIOSUE' CARDUCCI,VIA MANCI 8,39100,A952,BOLZANO * BOZEN,NORMALE,LICEO CLASSICO,SI,Non Disponibile,lc.bz-carducci@scuola.alto-adige.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC813005,JOHANN BAPTIST MURR,TBMM813016,JOHANN BAPTIST MURR,VIA SCUOLE 8,39023,E457,LASA * LAAS,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC84500L,MERAN-STADT/MERANO-CITTA',TBEE84501P,SC PRIMARIA MERANO SCHWEITZER,Non Disponibile,39012,F132,MERANO * MERAN,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IBIC807006,VIPITENO,IBEE807018,POLO SCOLASTICO A. LANGER,PIAZZA DR. A. LANGER 2,39049,M067,VIPITENO * STERZING,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC85800A,"""TRENTO 6""",TNEE85806N,"TRENTO-SARDAGNA ""A. DEGASPERI""","LOC. SARDAGNA, 128",38040,L378,TRENTO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.istitutocomprensivotrento6.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC83300A,RIO DI PUSTERIA/MUEHLBACH,TBEE83302D,MERANZA/MERANSEN,Non Disponibile,39037,H299,RIO DI PUSTERIA * MUEHLBACH,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC814001,SIMON YBERTRACHER,TBMM814012,SM NATURNS/NATURNO,VIA        DEI CAMPI           3,39025,F849,NATURNO * NATURNS,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,LBIC80100E,I.C.D.LOC.LADINE - SELVA,LBEE80101L,SELVA GARDENA / WOLKENSTEIN,PIAZZA DELLA CHIESA,39048,I591,SELVA DI VAL GARDENA * WOLKENS,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIS014005,"L. D. SC. UM, L. CL., LIN. E ART. MERANO",TBIS014005,"L. D. SC. UM, L. CL., LIN. E ART. MERANO",VIA VERDI 8,39012,F132,MERANO * MERAN,NORMALE,ISTITUTO SUPERIORE,SI,Non Disponibile,os-gym.meran@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP017000,Mont Rose A,AO1A017020,infanzia Donnas,"P.zza XXV Aprile, 6",11020,D338,DONNAS,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,is-mrosea@regione.vda.it,Non Disponibile,www.montrosea.scuole.vda.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP009000,Grand Combin,AO1E009020,primaria Gignod,"Loc. Capoluogo,1",11010,E029,GIGNOD,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-gcombin@regione.vda.it,Non Disponibile,https://grandcombin.iswebcloud.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC82000X,"""TRENTO 2""",TNMM820011,"TRENTO-COGNOLA""DELL'ARGENTARIO""","VIA PONTE ALTO, 2/1",38121,L378,TRENTO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icomenius.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIS013001,"""M. BUONARROTI""",TNTL01301N,"""M. BUONARROTI"" - TRENTO","VIA BRIGATA ACQUI, 15",38122,L378,TRENTO,NORMALE,ISTITUTO TECNICO PER GEOMETRI,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.scuolefiemme.tn.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC85700E,"""TRENTO 4""",TNEE85701L,TRENTO CLARINA,"VIA L. EINAUDI, 13",38100,L378,TRENTO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.ictrento4.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP009000,Grand Combin,AOIP009000,Grand Combin,Loc. Chez Roncoz 29/D,11010,E029,GIGNOD,NORMALE,Non Disponibile,ND,Non Disponibile,is-gcombin@regione.vda.it,is-gcombin@pec.regione.vda.it,https://grandcombin.iswebcloud.it/
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC838005,"""DEL CHIESE""",TNMM838027,PIEVE DI BONO-PREZZO,"VIA ALLA FIERA, 1",38085,M365,PIEVE DI BONO-PREZZO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.istitutodelchiese.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC804002,"""FOLGARIA, LAVARONE E LUSERNA""",TNEE804014,LAVARONE,VIA MARCONI,38040,E492,LAVARONE,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icfolgarialavaroneluserna
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC85200B,"""TRENTO 5""",TNIC85200B,"""TRENTO 5""",VIA SAN GIOVANNI BOSCO 8,38122,L378,TRENTO,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,segr.ic.tn5@scuole.provincia.tn.it,ic.tn5@pec.provincia.tn.it,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC840005,"""ARCO""",TNMM840016,"ARCO ""NICOLO' D'ARCO""",LOC. PRABI,38062,A372,ARCO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icarco.gov.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC816008,"""ALTOPIANO DI PINE'""",TNEE81602B,"BASELGA DI PINE'- MIOLA ""VERDI""","VIA DELLA CHIESA, 3",38042,A694,BASELGA DI PINE',NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.http://icpine.eu
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIS01600R,L. SCIENT. E IST. TECN. MERANO,TBIS01600R,L. SCIENT. E IST. TECN. MERANO,VIA KARL-WOLF 36,39012,F132,MERANO * MERAN,NORMALE,ISTITUTO SUPERIORE,SI,Non Disponibile,os-rg-tfo.meran@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC82900P,KARL MEUSBURGER,TBEE829095,ONIES/ONACH,Non Disponibile,39030,H956,SAN LORENZO DI SEBATO * ST. LO,DI MONTAGNA,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBEE00800Q,GSP BRUNECK / CSP PRIMARIA BRUNICO,TBEE00800Q,GSP BRUNECK / CSP PRIMARIA BRUNICO,VIA GALILEI 5,39031,B220,BRUNICO * BRUNECK,NORMALE,SCUOLA PRIMARIA,SI,Non Disponibile,gsd.bruneck@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC842005,MERAN/OBERMAIS MERANO/MAIA ALTA,TBEE84205B,AVELENGO/HAFLING,Non Disponibile,39010,A507,AVELENGO * HAFLING,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP013000,Abbé Prosper Duc,AOIP013000,Abbé Prosper Duc,"Via Plantin, 1",11024,C294,CHATILLON,NORMALE,Non Disponibile,ND,Non Disponibile,is-apduc@regione.vda.it,is-apduc@pec.regione.vda.it,http://www.prosperduc.it/
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP007000,Maria Ida Viglino,AO1E007010,primaria  Arvier,"Via St. Antoine, 6",11011,A452,ARVIER,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-miviglino@regione.vda.it,Non Disponibile,www.isviglino.scuole.vda.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP005000,Eugenia Martinet,AO1E005010,"primaria ""Giovanni Pezzoli""","Via Parigi, 137",11100,A326,AOSTA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-emartinet@regione.vda.it,Non Disponibile,www.martinet.scuole.vda.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIS009009,"""DON LORENZO MILANI"" ROVERETO",TNTD00950X,"""DON MILANI"" -IS.TEC.TURIST. SERALE",VIA BALISTA,Non Disponibile,H612,ROVERETO,PERCORSO II LIVELLO,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,milani@domir.it,Non Disponibile,www.domir.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC806002,NOVA PONENTE - DEUTSCHNOFEN,TBEE806058,NOVA LEVANTE/WELSCHNOFEN,Non Disponibile,39058,F949,NOVA LEVANTE * WELSCHNOFEN,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
